Timestamp,What is your classification year?,Are you a major or concentrator in this faculty member's field?,What was your principal reason for taking this course? Check all that apply:,How challenging was this course for you?,How would you describe the amount of effort you put into this course?,"How well did each of the following course elements help you learn course material? [Communication of course goals, objectives,  or intended learning outcomes]",How well did each of the following course elements help you learn course material? [Assigned readings],"How well did each of the following course elements help you learn course material? [Graded assignments (papers, projects, presentations, performances, etc.)]",How well did each of the following course elements help you learn course material? [Examinations and/or quizzes],How well did each of the following course elements help you learn course material? [Predictability and pace of course schedule],"How well did each of the following course elements help you learn course material? [Extent to which course activities (readings, class time, assignments, etc.) fit together]",How well did each of the following course elements help you learn course material? [Extent to which course activities supported course goals or learning outcomes],"How well did each of the following course elements help you learn course material? [Connection of course content to larger themes (societal, ethical, religious, professional, etc.)]",How consistently did the instructor engage in the following practices? [Accommodating different learning needs and styles],"How consistently did the instructor engage in the following practices? [Explaining  important information, ideas, or concepts clearly]",How consistently did the instructor engage in the following practices? [Encouraging students to develop and express their own ideas and perspectives],"How consistently did the instructor engage in the following practices? [Encouraging students to consider carefully the ideas and perspectives of others (other students, other scholars, other speakers, etc.)]",How consistently did the instructor engage in the following practices? [Using class time to stimulate intellectual engagement with course topics],"How consistently did the instructor engage in the following practices? [Providing opportunities for students to apply their learning to new problems, issues, or topics]",How consistently did the instructor engage in the following practices? [Communicating clear expectations for student work],How consistently did the instructor engage in the following practices? [Providing assistance as needed outside of class],How consistently did the instructor engage in the following practices? [Providing helpful feedback on assignments],How consistently did the instructor engage in the following practices? [Providing timely feedback on assignments],How consistently did the instructor engage in the following practices? [Conveying respect for students],Please describe one or two of the instructor's most effective practices.,Please describe one or two ways in which the instructor could improve.,Please include any other observations that will help the instructor continue to develop as a teacher.
2024/05/13 8:09:35 AM EST,First-year,Yes,It is a prerequisite for another course I plan to take;It complements my major or concentration,Too challenging,Modest (3-5 hours of work per week outside of class time),A few times,A few times,Some of the time,A few times,A few times,A few times,Not at all,Some of the time,Some of the time,A few times,Most of the time,Some of the time,Some of the time,Some of the time,A few times,A few times,A few times,Some of the time,Almost Always,,,
2024/05/13 8:10:02 AM EST,First-year,No,It counts toward my major or concentration;It is a prerequisite for another course I plan to take,Too challenging,Moderate (6-10 hours of work per week outside of class time),Not at all,Not at all,A few times,Not at all,Not at all,A few times,A few times,A few times,A few times,A few times,A few times,Some of the time,A few times,Not at all,Not at all,A few times,Not at all,Not at all,Most of the time,The examples from papers or articles we used when doing homework on moodle was an interesting way to involve outside sources or current problems in relation to the course,"The instructor had us using programs that advanced Econ classes use, and the instruction was minimal and unclear and we never went back to that idea. The class lectures never involved actually doing work, the professor showed us a picture of a graph, briefly talked about it, and then we went on and were expected to understand it.","I think the pace of the course needs to be slowed down. I feel as if we covered too much ground in not enough time, with not enough clear instruction or teaching. The outside work and homework often had a vast difference in difficulty compared to what we did in class, with the in-class activities often having little demonstration on how to complete the task. The exams and homework often have unclear, or contradictory, wording. My friends who have taken this course before say their experience was vastly different and they did not cover most of the items covered in the course. Often the explanations did not help when covering many topics. "
2024/05/13 8:10:39 AM EST,First-year,Yes,It is a prerequisite for another course I plan to take,About right,Considerable (More than 10 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,A few times,Some of the time,Almost Always,Most of the time,Some of the time,Most of the time,Some of the time,Most of the time,Some of the time,A few times,Almost Always,The syllabus was a lot but good and the layout of tests were also pretty good ,Maybe the syllabus was a little too structured and didn?€?t allow for enough freedom. Also giving extra marks on midterms would be good. ,"Lowering our workload, lowers your workload and will therefore allow you give back our assignments on time "
2024/05/13 8:10:46 AM EST,Sophomore,No,It is a prerequisite for another course I plan to take;It complements my major or concentration,About right,Modest (3-5 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,A few times,A few times,Most of the time,Almost Always,Some of the time,Most of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,"using slides with pictures to represent topics, assigning problems, having groups do quizzes together, daily worksheets","have the class try some example problems and go over them together while we are learning the material vs just on the problem set, have groups work together on problems more often, share some real world applications",
2024/05/13 8:11:55 AM EST,First-year,No,It meets a General Education/OLE Core requirement,Too challenging,Moderate (6-10 hours of work per week outside of class time),Some of the time,Most of the time,A few times,Not at all,A few times,A few times,Some of the time,Some of the time,Almost Always,A few times,A few times,Some of the time,Some of the time,Some of the time,A few times,Some of the time,Not at all,Most of the time,Most of the time,"A regular schedule of readings from the textbook that were relevant and helpful to the next day's class. The ""games"" in class were helpful for applying concepts to real life.","Some concepts weren't explained very clearly, and feedback on exams/homework was confusing. We weren't given any formulas on exams or information on what formulas we should know ahead of time, which made some of the exams difficult. ",
2024/05/13 8:14:02 AM EST,First-year,Yes,It meets a General Education/OLE Core requirement;It counts toward my major or concentration,Too challenging,Considerable (More than 10 hours of work per week outside of class time),A few times,Most of the time,Some of the time,A few times,Not at all,A few times,A few times,Some of the time,Most of the time,A few times,Most of the time,Some of the time,Most of the time,Some of the time,A few times,Some of the time,A few times,A few times,Almost Always,"I think one of the instructors effective practices were the problem sets, they allowed us to apply some of the knowledge that we had been learning and overall helped me learn more. Another was the readings specifically adding a real world article to help us apply it to the real world and better understand it in the context of our own lives. ","One of the instructors greatest downfall was also the problem sets, while I do think they were helpful, they also required a lot from us--a lot of stuff that we weren't properly taught how to do, many hours of mine were spent in SI and with other students trying to find formulas, some of which were never given to us, and trying to remember when we learned this and how we were supposed to do it--I think that having us use the program was also unfair and should not be given to 121 students especially since we were barley taught how to do it. Another spot I think the instructor could improve is in the lectures, I think one of the biggest problems (the problem sets) could be improved if the instructor actually used the formulas and gave us an example in class on how to do it BEFORE just sending us out, expecting us to know how to do it even though we were never actually taught--examples in class would be helpful. ","I think that having a review sheet for before tests would be helpful, it often felt like I had no idea what was going to be on the test even though I had studied and came to our study sessions. The test often felt a lot harder than what we had done in class and even on the problem set, a review sheet may also be helpful as to help students see the gaps in their learning and were they need to ask for help. Lastly, I just want to say again that using the program in a 121 Econ class seems really absurd to me, this is an intro level course and that something you usually don't start doing until at LEAST a 200 level course--furthermore, we weren't even properly taught how to use it so it seems highly unfair to expect something of the degree from us."
2024/05/13 8:14:26 AM EST,First-year,No,I?€?m interested in the subject matter,About right,Moderate (6-10 hours of work per week outside of class time),Some of the time,A few times,Some of the time,Some of the time,A few times,Some of the time,A few times,Some of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Most of the time,Almost Always,Posting the notes and the answer key after exams was really helpful.,Maybe discussing the readings more directly in class. Highlighting the most important information from each section. Maybe more explanation and examples to help explain certain concepts. For a subject like Econ more explanation within the notes would be helpful.,"A skill I?€?ve noticed of good teachers is being able to take students answers and responses, whether it?€?s right or not, and incorporate it into the larger discussion. Maybe with further discussion or an explanation or connection the response to another idea."
2024/05/13 8:18:10 AM EST,First-year,No,It meets a General Education/OLE Core requirement,About right,Modest (3-5 hours of work per week outside of class time),Some of the time,Some of the time,Not at all,A few times,Some of the time,A few times,Not at all,Not at all,A few times,Some of the time,A few times,A few times,A few times,A few times,A few times,Some of the time,A few times,Some of the time,Almost Always,Giving us worksheets at the end of class so we could actually apply what we learned (but didn't do it all the time and I was often confused as I hadn't learned the concepts clearly enough yet) and having us complete small quizzes throughout the semester that we did alone and then looked over with groups to catch each others mistakes and discuss answers.,"Make all explanations, assignments, and expectations much more clear. I was often confused on course material and concepts and how the class worked. The slides were only helpful if you were there in class, so maybe embellish them a bit more so that someone who wasn't there could understand them or I could go back and try to learn the material outside of class. The assigned readings for each day weren't very applicable to the topic, and there was way too much reading out of the textbook for every class. A lot of the textbook reading was unnecessary and it took way too long to do. Maybe try finding alternate academic sources of information that we can learn from instead of the same textbook every time. ","Find new and clearer ways to explain topics. Go through slides clearly and encourage discussion and activity among students to check if they really understand or not. Try incorporating other types of activities and different readings into the class, and other ways to eat our knowledge (projects, performances, essays) instead of just quizzes and tests. Class was often not very exciting or engaging, and this would make it much more fun. Also try finding ways to connect what we are learning to the current world or our lives to keep us engaged."
2024/05/13 9:08:57 AM EST,Junior,No,It meets a General Education/OLE Core requirement,Too challenging,Modest (3-5 hours of work per week outside of class time),Some of the time,Most of the time,Some of the time,A few times,Some of the time,Some of the time,Some of the time,A few times,Almost Always,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Almost Always,Some of the time,Most of the time,Almost Always,"I enjoyed the RAT exercises, they were helpful to do on our own and then compare and talk through answers with classmates ","More examples integrated within the slides, sometimes the content was hard to follow in class specifically ",
2024/05/13 9:09:05 AM EST,First-year,Yes,It meets a General Education/OLE Core requirement;It counts toward my major or concentration;It is a prerequisite for another course I plan to take,About right,Moderate (6-10 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,I really liked the rats,less lectures and more example problems ,
2024/05/13 9:09:32 AM EST,Sophomore,No,I?€?m interested in the subject matter;It is a prerequisite for another course I plan to take,About right,Modest (3-5 hours of work per week outside of class time),Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Some of the time,Almost Always,Readings that connect our learning on specific topics to real events in the world,,
2024/05/13 9:09:42 AM EST,First-year,No,I?€?m interested in the subject matter,About right,Modest (3-5 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Very open for questions after class. Very helpful in answering and showing how to do things I wasn't sure how to,None!,You were very friendly and open with us.
2024/05/13 9:09:53 AM EST,Sophomore,No,It is a prerequisite for another course I plan to take,Too challenging,Moderate (6-10 hours of work per week outside of class time),Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Some of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,The slides had a lot of information on them,I feel like there is a considerable amount of information on the tests that was not covered in class. ,Try to put everything that will be on the tests in the slides. But overall a very enjoyable experience for this semester
2024/05/13 9:10:30 AM EST,Sophomore,No,It counts toward my major or concentration,About right,Modest (3-5 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Always,Most of the time,Almost Always,Most of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,She was always willing to help and bet there for students. Having slides and daily readings + questions to answer was also helpful. Also having a worksheet in class was helpful. ,"Sometimes the slides were unclear, but not to the point where it wasn?€?t understandable. Easy to ask for clarification. ",
2024/05/13 9:10:41 AM EST,First-year,No,It meets a General Education/OLE Core requirement,Too challenging,Moderate (6-10 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Not at all,Most of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Most of the time,Almost Always,Almost Always,Almost Always,Communcation ,faster grading,none
2024/05/13 9:10:47 AM EST,Sophomore,Yes,It counts toward my major or concentration;I?€?m interested in the subject matter;It is a prerequisite for another course I plan to take;It complements my major or concentration,About right,Modest (3-5 hours of work per week outside of class time),Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,"The daily reading before every lesson it gets you ready for the new material being taught and warms you up.

The RAT helps you figure out your gaps and where you are lacking when answering questions with your friends",She is doing great even with english being a second language she was amazing,I still didn?€?t get my prize for penultimate RAT we did where my group won. But it?€?s fine.
2024/05/13 9:11:18 AM EST,Junior,No,It counts toward my major or concentration,Too challenging,Moderate (6-10 hours of work per week outside of class time),Most of the time,Some of the time,Some of the time,A few times,Most of the time,Some of the time,Some of the time,Some of the time,Most of the time,A few times,Some of the time,Some of the time,A few times,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,clear expectations and communication ,More engaging presentations and more in class problem work,
2024/05/13 9:11:26 AM EST,First-year,Not sure yet,I?€?m interested in the subject matter,About right,Moderate (6-10 hours of work per week outside of class time),Most of the time,Most of the time,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Most of the time,Almost Always,"I enjoyed how the class was structured in an organized way. I always knew what to expect. Also, she was very helpful in explaining topics with real-life examples.",Sometimes the problem set questions were confusing.,
2024/05/13 9:11:41 AM EST,Senior,Yes,It counts toward my major or concentration,About right,Moderate (6-10 hours of work per week outside of class time),Some of the time,Some of the time,Some of the time,A few times,Some of the time,Some of the time,Most of the time,A few times,Some of the time,Most of the time,A few times,Some of the time,A few times,A few times,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,She grades everything herself and gives good feedback as to what we did wrong.,"There have been many times in which I was very confused on the questions she was asking on the homework, quizzes and tests. Questions that are more clear and concise would be very helpful.",
2024/05/13 9:12:39 AM EST,First-year,No,It meets a General Education/OLE Core requirement,Too challenging,Moderate (6-10 hours of work per week outside of class time),A few times,A few times,A few times,A few times,A few times,A few times,A few times,A few times,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,"Ling Yao is a very nice person, but she could be far more confident in herself. ","This is a beginner course and people are not expected to know about economics, Ling expects us to have previous knowledge and explains things as if they are for professionals. "
2024/05/13 9:12:40 AM EST,First-year,No,It is a prerequisite for another course I plan to take,Too challenging,Moderate (6-10 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Not at all,Some of the time,Most of the time,Most of the time,Most of the time,Almost Always,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,A few times,A few times,Almost Always,Almost Always,Almost Always,She's every understanding to students and always reviewed subjects in class that students struggled with.,I think there could be some better explanation of topics and more group discussion. ,
2024/05/13 9:12:43 AM EST,First-year,No,It counts toward my major or concentration,Too challenging,Modest (3-5 hours of work per week outside of class time),Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A few times,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,A few times,Most of the time,,"The lectures were often over exactly what was in the textbook, which is generally fine, but if I didn't understand a concept in the textbook, I found it difficult to understand it better during class. We also had a lot of assignments, which again isn't bad, it was just that sometimes it would've been nice to have feedback on an assignment earlier to help complete the next assignment. ",
2024/05/13 9:15:13 AM EST,First-year,No,It meets a General Education/OLE Core requirement,About right,Very limited (Less than 3 hours of work per week outside of class time),Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Almost Always,Most of the time,Most of the time,Most of the time,Almost Always,Almost Always,Most of the time,Most of the time,Most of the time,Most of the time,Almost Always,she doesn't have a problem repeating a slide in a different way that people will understand more,"it felt like the workload was fast-paced but the teaching style didn't match it was more of a slower pace, and I don't know about my peers but sometimes I get distracted easily so I would disengage because it wasn't a fast pace teaching style",
2024/05/13 9:16:52 AM EST,Sophomore,No,It meets a General Education/OLE Core requirement;I?€?m interested in the subject matter,Too challenging,Modest (3-5 hours of work per week outside of class time),Not at all,Some of the time,Most of the time,Some of the time,Not at all,Not at all,Not at all,Some of the time,Some of the time,A few times,Most of the time,Most of the time,Some of the time,Some of the time,A few times,Almost Always,Not at all,Almost Always,Almost Always,"The in-class activities that the instructor provided were helpful in grounding the day's concepts, this included RAT activities and worksheets. ","Class time was dedicated to application of concepts, but we did not spend much time actually understanding the concepts. The concepts discussed in the lecture then are expanded upon in class questions, but it would be beneficial to walk through an example or two with the professor. ","As a student in this course, there were many times where I felt like there was a key piece of information that was supposed to be grounding the concepts that we were learning. Spending time of the theories, and thought behind the application would benifical in then understand the application, such as how graphs move. "
2024/05/13 9:17:56 AM EST,First-year,No,It meets a General Education/OLE Core requirement,About right,Moderate (6-10 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Posting the slideshows that were used in class so that we could review them later and being available to help with questions when we needed help,It would be beneficial to have more practice problems in class similar to the content that was on the problem sets,
2024/05/13 1:10:24 PM EST,Sophomore,No,It counts toward my major or concentration,About right,Modest (3-5 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,Almost Always,Almost Always,Most of the time,Most of the time,Almost Always,Almost Always,Most of the time,Most of the time,Almost Always,Had a group assignments (RAT),Sometimes it was hard to understand what the professor was saying but overall everything was well,
2024/05/13 1:18:25 PM EST,First-year,No,It meets a General Education/OLE Core requirement;It counts toward my major or concentration;I?€?m interested in the subject matter;It is a prerequisite for another course I plan to take;It complements my major or concentration,Too challenging,Considerable (More than 10 hours of work per week outside of class time),Not at all,Most of the time,A few times,Not at all,Not at all,Not at all,Not at all,Not at all,Most of the time,Not at all,A few times,A few times,A few times,Not at all,Not at all,Not at all,A few times,Some of the time,Almost Always,,"This is an intro-level class, and it is imperative that the material being taught is easy to understand for a student with no previous experience in economics.

The in-class examples MUST mirror the difficulty of the Problem Set and exam questions. Additionally, daily homework for this class had nothing do to with the questions on the Problem Sets or exams and was a waste of time as it did not contribute to my learning in a way that directly connected with course material.","I admire Yao's kindness and passion for economics, but her instruction skills need work. I am constantly lost in class and I feel that this course was far too difficult for the majority of my peers. "
2024/05/19 4:28:32 PM EST,Sophomore,No,It counts toward my major or concentration;It is a prerequisite for another course I plan to take,About right,Moderate (6-10 hours of work per week outside of class time),Some of the time,Most of the time,Most of the time,Most of the time,Some of the time,Some of the time,Most of the time,Most of the time,Almost Always,Most of the time,Almost Always,Most of the time,Almost Always,Almost Always,Most of the time,Almost Always,Almost Always,Most of the time,Almost Always,I really appreciated that our instructor always posted the slides and answer key to problem sets so that we could review the resources on our own time. ,Sometimes the explanations of course content wasn't the super clear. An possible improvement would be to make explanations more easy to understand. ,
